college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,MA25C01,Applied Calculus,4,BS,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,EN25C01,English Essentials I,2,HUM,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,UC25H01,/ Heritage of தமிழர ் மரபு Tamils,1,HUM,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,PH25C01,Applied Physics I,3,BS,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,CY25C01,Applied Chemistry I,3,BS,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,CS25C01,Computer Programming: C,3,ES (PC),,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,CS25C03,Essentials of Computing,3,ES DIC (PC) -,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,ME25C04,Makerspace,2,SD,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,UC25A01,Life Skills for Engineers I,1,HUM,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,1,UC25A02,Physical Education I,1,HUM,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,2,MA25C02,Linear Algebra,4,BS,,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,2,EE25C01,Basic Electrical and Electronics Engineering,3,ES (G),,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,2,CS25C06,Digital Principles and Computer Organization,4,ES (PC),,core
Anna University Affiliated,AUA,Computer Science Engineering (Internet of Things),CSE-IOT,R2025,2,PH25C03,Applied Physics (CSIE) II,3,BS,,core
