college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,1,24BSCY101,Engineering Chemistry,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,1,24BSMA101,Matrices and Calculus,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,1,24ENTP101,Functional Life Skills,1,,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,1,24ESCS101,PROBLEM SOLVING AND LT P cpic,1,ESC,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,1,24ESGE102,Engineering Practices Laboratory,2,ESC,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,1,24ESPL101,Programming in C Laboratory,1,ESC,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24AIPT201,Python for Data Science Laboratory with Theory,3,,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24BSCY201,CHEMISTRY FOR ENVIRONMENT,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24BSMA201,uly leicelc,9,BS,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24BSPH203,Physics for Information Science,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24BSPL101,Physics and Chemistry Laboratory,2,BS,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24ENTP201,Digital Dynamics,0,,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24ESGE101,Engineering Graphics,3,ESC,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24HSEN201,Professional English,2,HUM,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24HSNC201,NCC Course Level 1*,0,HUM,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,2,24HSTA201,Tamils and Technology,1,HUM,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,3,24HSMC301,""" YNiVERSAL HUMAN VALUES II",4,HUM,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,4,24AIPT201,Python for Data Science Laboratory with Theory,3,,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,4,24BSMA101,Matrices and Calculus,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,4,24ENTP101,Functional Life Skills,1,,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,4,24ESID101,Idea Engineering Lab - I,1,ESC,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,4,24HSNC201,NCC Course Level 1*,0,HUM,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,5,24AIPT201,Python for Data Science Laboratory with Theory,3,,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,5,24ENTP101,Functional Life Skills,1,,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,5,24ESMC201,MS Office (Mandatory - NC),0,ESC,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,6,24CIEL637,lol Design Protocols 3 le Technine’,4,,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,7,24AIPT201,Python for Data Science Laboratory with Theory,3,,,core
Sri Sairam Engineering College,SAIRAM,Artificial Intelligence and Data Science,AIDS,R2024,7,24ENTP101,Functional Life Skills,1,,,core
